nohup: ignoring input
Using TensorFlow backend.
DEBUG:main:200:	Size Word Vocab: 25999
DEBUG:main:206:	Train Word X: (79832, 105)
DEBUG:main:207:	Train Y: (79832, 105, 1)
DEBUG:main:213:	Val Word X: (4982, 105)
DEBUG:main:214:	Val Y: (4982, 105, 1)
DEBUG:main:220:	Test Word X: (5000, 105)
DEBUG:main:221:	Test Y: (5000, 105, 1)
DEBUG:main:225:	Size Char Vocab: 136
DEBUG:main:232:	Train Char X: (79832, 105, 33)
DEBUG:main:239:	Val Char X: (4982, 105, 33)
DEBUG:main:246:	Test Char X: (5000, 105, 33)
WARNING:tensorflow:From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:new_func:323:	From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3445: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
WARNING:new_func:506:	From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3445: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
WARNING:tensorflow:From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:new_func:323:	From /home/ec2-user/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Loading Model
Train on 79832 samples, validate on 4982 samples
Epoch 1/1

   32/79832 [..............................] - ETA: 1:19:58 - loss: 5.1290
   64/79832 [..............................] - ETA: 51:12 - loss: 5.2599  
   96/79832 [..............................] - ETA: 41:27 - loss: 5.1539
  128/79832 [..............................] - ETA: 36:28 - loss: 5.2102
  160/79832 [..............................] - ETA: 33:28 - loss: 5.2352
  192/79832 [..............................] - ETA: 31:30 - loss: 5.2252
  224/79832 [..............................] - ETA: 30:05 - loss: 5.2059
  256/79832 [..............................] - ETA: 28:59 - loss: 5.2337
  288/79832 [..............................] - ETA: 28:12 - loss: 5.2226
  320/79832 [..............................] - ETA: 27:32 - loss: 5.2124
  352/79832 [..............................] - ETA: 26:58 - loss: 5.2367
  384/79832 [..............................] - ETA: 26:33 - loss: 5.2435
  416/79832 [..............................] - ETA: 26:09 - loss: 5.2453
  448/79832 [..............................] - ETA: 25:48 - loss: 5.2523
  480/79832 [..............................] - ETA: 25:31 - loss: 5.2591
  512/79832 [..............................] - ETA: 25:16 - loss: 5.2553
  544/79832 [..............................] - ETA: 25:04 - loss: 5.2800
  576/79832 [..............................] - ETA: 24:50 - loss: 5.2844
  608/79832 [..............................] - ETA: 24:39 - loss: 5.2840
  640/79832 [..............................] - ETA: 24:29 - loss: 5.2894
  672/79832 [..............................] - ETA: 24:20 - loss: 5.2976
  704/79832 [..............................] - ETA: 24:13 - loss: 5.2978
  736/79832 [..............................] - ETA: 24:05 - loss: 5.2972
  768/79832 [..............................] - ETA: 23:57 - loss: 5.2945
  800/79832 [..............................] - ETA: 23:51 - loss: 5.2908
  832/79832 [..............................] - ETA: 23:45 - loss: 5.2863
  864/79832 [..............................] - ETA: 23:39 - loss: 5.2857
  896/79832 [..............................] - ETA: 23:34 - loss: 5.2837
  928/79832 [..............................] - ETA: 23:29 - loss: 5.2833
  960/79832 [..............................] - ETA: 23:24 - loss: 5.2791
  992/79832 [..............................] - ETA: 23:20 - loss: 5.2835
 1024/79832 [..............................] - ETA: 23:16 - loss: 5.2821
 1056/79832 [..............................] - ETA: 23:12 - loss: 5.2835
 1088/79832 [..............................] - ETA: 23:08 - loss: 5.2904
 1120/79832 [..............................] - ETA: 23:06 - loss: 5.2885
 1152/79832 [..............................] - ETA: 23:02 - loss: 5.2893
 1184/79832 [..............................] - ETA: 22:59 - loss: 5.2908
 1216/79832 [..............................] - ETA: 22:56 - loss: 5.2916
